Frame,Module,Start_Time,End_Time,Duration_s,Energy_kWh,Emissions_kg,CPU_Usage,Memory_Usage
34,mqtt_communication,16:33:00.323352,16:33:00.323591,0.0002,0.000000,0.000000,0,0
35,lane_detection,16:33:00.356704,16:33:00.419938,0.0632,0.000000,0.000000,0,0
35,car_overlay_reconstruction,16:33:00.424220,16:33:00.426884,0.0027,0.000000,0.000000,0,0
35,object_detection_yolo,16:33:00.430516,16:33:00.469543,0.0390,0.000000,0.000000,0,0
35,vehicle_analysis_postprocessing,16:33:00.473449,16:33:00.474004,0.0006,0.000000,0.000000,0,0
35,mqtt_communication,16:33:00.479671,16:33:00.479990,0.0003,0.000000,0.000000,0,0
36,lane_detection,16:33:00.513774,16:33:00.582854,0.0691,0.000000,0.000000,0,0
36,car_overlay_reconstruction,16:33:00.587622,16:33:00.590121,0.0025,0.000000,0.000000,0,0
36,object_detection_yolo,16:33:00.593980,16:33:00.631251,0.0373,0.000000,0.000000,0,0
36,vehicle_analysis_postprocessing,16:33:00.635074,16:33:00.635522,0.0004,0.000000,0.000000,0,0
36,mqtt_communication,16:33:00.639193,16:33:00.639461,0.0003,0.000000,0.000000,0,0
37,lane_detection,16:33:00.671992,16:33:00.747069,0.0751,0.000000,0.000000,0,0
37,car_overlay_reconstruction,16:33:00.750862,16:33:00.753247,0.0024,0.000000,0.000000,0,0
37,object_detection_yolo,16:33:00.757007,16:33:00.794958,0.0380,0.000000,0.000000,0,0
37,vehicle_analysis_postprocessing,16:33:00.798964,16:33:00.799422,0.0005,0.000000,0.000000,0,0
37,mqtt_communication,16:33:00.803255,16:33:00.803483,0.0002,0.000000,0.000000,0,0
38,lane_detection,16:33:00.835761,16:33:00.901140,0.0654,0.000000,0.000000,0,0
38,car_overlay_reconstruction,16:33:00.905688,16:33:00.908329,0.0026,0.000000,0.000000,0,0
38,object_detection_yolo,16:33:00.915137,16:33:00.954487,0.0394,0.000000,0.000000,0,0
38,vehicle_analysis_postprocessing,16:33:00.960428,16:33:00.960990,0.0006,0.000000,0.000000,0,0
38,mqtt_communication,16:33:00.964697,16:33:00.964965,0.0003,0.000000,0.000000,0,0
39,lane_detection,16:33:00.997972,16:33:01.071673,0.0737,0.000000,0.000000,0,0
39,car_overlay_reconstruction,16:33:01.075810,16:33:01.077989,0.0022,0.000000,0.000000,0,0
39,object_detection_yolo,16:33:01.081536,16:33:01.118566,0.0370,0.000000,0.000000,0,0
39,vehicle_analysis_postprocessing,16:33:01.122260,16:33:01.122677,0.0004,0.000000,0.000000,0,0
39,mqtt_communication,16:33:01.126481,16:33:01.126725,0.0002,0.000000,0.000000,0,0
40,lane_detection,16:33:01.152991,16:33:01.215249,0.0623,0.000000,0.000000,0,0
40,car_overlay_reconstruction,16:33:01.219304,16:33:01.221742,0.0024,0.000000,0.000000,0,0
40,object_detection_yolo,16:33:01.225377,16:33:01.262687,0.0373,0.000000,0.000000,0,0
40,vehicle_analysis_postprocessing,16:33:01.266645,16:33:01.267128,0.0005,0.000000,0.000000,0,0
40,mqtt_communication,16:33:01.270806,16:33:01.271034,0.0002,0.000000,0.000000,0,0
41,lane_detection,16:33:01.304806,16:33:01.381251,0.0764,0.000000,0.000000,0,0
41,car_overlay_reconstruction,16:33:01.385736,16:33:01.388253,0.0025,0.000000,0.000000,0,0
41,object_detection_yolo,16:33:01.391952,16:33:01.429439,0.0375,0.000000,0.000000,0,0
41,vehicle_analysis_postprocessing,16:33:01.433342,16:33:01.433811,0.0005,0.000000,0.000000,0,0
41,mqtt_communication,16:33:01.437516,16:33:01.437759,0.0002,0.000000,0.000000,0,0
42,lane_detection,16:33:01.476711,16:33:01.544480,0.0678,0.000000,0.000000,0,0
42,car_overlay_reconstruction,16:33:01.549132,16:33:01.551807,0.0027,0.000000,0.000000,0,0
42,object_detection_yolo,16:33:01.555777,16:33:01.593979,0.0382,0.000000,0.000000,0,0
42,vehicle_analysis_postprocessing,16:33:01.598344,16:33:01.598785,0.0004,0.000000,0.000000,0,0
42,mqtt_communication,16:33:01.602508,16:33:01.602735,0.0002,0.000000,0.000000,0,0
43,lane_detection,16:33:01.639219,16:33:01.707808,0.0686,0.000000,0.000000,0,0
