Frame,Module,Start_Time,End_Time,Duration_s,CPU_Usage_%,Memory_Usage_MB,Memory_Delta_MB,CPU_Time_User_s,CPU_Time_System_s,Estimated_Energy_Wh
34,car_overlay_reconstruction,16:48:32.037660,16:48:32.040792,0.003132,638.60,3006.66,0.00,0.020000,0.000000,0.00000432
34,object_detection_yolo,16:48:32.043524,16:48:32.078419,0.034894,773.76,3006.66,0.00,0.250000,0.020000,0.00005654
34,vehicle_analysis_postprocessing,16:48:32.078900,16:48:32.079075,0.000175,0.00,3006.66,0.00,0.000000,0.000000,0.00000004
34,mqtt_communication,16:48:32.079366,16:48:32.079746,0.000380,2631.31,3006.66,0.00,0.010000,0.000000,0.00000187
35,lane_detection,16:48:32.109352,16:48:32.172850,0.063498,582.70,3009.66,0.00,0.360000,0.010000,0.00008133
35,car_overlay_reconstruction,16:48:32.173204,16:48:32.175908,0.002704,739.54,3009.66,0.00,0.020000,0.000000,0.00000422
35,object_detection_yolo,16:48:32.176226,16:48:32.212726,0.036500,602.74,3010.53,0.88,0.210000,0.010000,0.00004805
35,vehicle_analysis_postprocessing,16:48:32.213075,16:48:32.213684,0.000609,0.00,3010.78,0.25,0.000000,0.000000,0.00000015
35,mqtt_communication,16:48:32.213925,16:48:32.214213,0.000288,0.00,3010.78,0.00,0.000000,0.000000,0.00000007
36,lane_detection,16:48:32.236561,16:48:32.302495,0.065934,591.50,3013.78,0.00,0.380000,0.010000,0.00008550
36,car_overlay_reconstruction,16:48:32.302906,16:48:32.305709,0.002803,713.50,3013.78,0.00,0.020000,0.000000,0.00000424
36,object_detection_yolo,16:48:32.305981,16:48:32.340884,0.034903,630.32,3013.78,0.00,0.210000,0.010000,0.00004767
36,vehicle_analysis_postprocessing,16:48:32.341245,16:48:32.341738,0.000493,0.00,3013.78,0.00,0.000000,0.000000,0.00000012
36,mqtt_communication,16:48:32.342053,16:48:32.342401,0.000347,2878.73,3013.78,0.00,0.010000,0.000000,0.00000186
37,lane_detection,16:48:32.371981,16:48:32.439359,0.067379,593.66,3016.78,0.00,0.380000,0.020000,0.00008765
37,car_overlay_reconstruction,16:48:32.439753,16:48:32.442553,0.002800,357.14,3016.78,0.00,0.010000,0.000000,0.00000247
37,object_detection_yolo,16:48:32.442829,16:48:32.478460,0.035631,589.37,3016.78,0.00,0.200000,0.010000,0.00004608
37,vehicle_analysis_postprocessing,16:48:32.478837,16:48:32.479353,0.000516,0.00,3016.78,0.00,0.000000,0.000000,0.00000013
37,mqtt_communication,16:48:32.479592,16:48:32.479863,0.000271,3695.42,3016.78,0.00,0.010000,0.000000,0.00000184
38,lane_detection,16:48:32.505807,16:48:32.567272,0.061465,618.24,3019.78,0.00,0.360000,0.020000,0.00008266
38,car_overlay_reconstruction,16:48:32.567629,16:48:32.570007,0.002378,420.52,3019.78,0.00,0.010000,0.000000,0.00000236
38,object_detection_yolo,16:48:32.570271,16:48:32.604786,0.034515,608.43,3019.78,0.00,0.200000,0.010000,0.00004582
38,vehicle_analysis_postprocessing,16:48:32.605111,16:48:32.605565,0.000453,0.00,3019.78,0.00,0.000000,0.000000,0.00000011
38,mqtt_communication,16:48:32.605798,16:48:32.606074,0.000275,3634.58,3019.78,0.00,0.010000,0.000000,0.00000185
39,lane_detection,16:48:32.627864,16:48:32.693292,0.065428,611.35,3022.91,0.00,0.370000,0.030000,0.00008721
39,car_overlay_reconstruction,16:48:32.693680,16:48:32.696293,0.002613,765.38,3022.91,0.00,0.010000,0.010000,0.00000420
39,object_detection_yolo,16:48:32.696565,16:48:32.731630,0.035065,598.89,3022.91,0.00,0.200000,0.010000,0.00004596
39,vehicle_analysis_postprocessing,16:48:32.731981,16:48:32.732491,0.000509,0.00,3022.91,0.00,0.000000,0.000000,0.00000013
39,mqtt_communication,16:48:32.732753,16:48:32.733057,0.000304,0.00,3022.91,0.00,0.000000,0.000000,0.00000007
40,lane_detection,16:48:32.754685,16:48:32.821328,0.066643,600.21,3025.78,0.00,0.370000,0.030000,0.00008752
40,car_overlay_reconstruction,16:48:32.821713,16:48:32.824488,0.002775,720.79,3025.78,0.00,0.020000,0.000000,0.00000424
40,object_detection_yolo,16:48:32.824764,16:48:32.859846,0.035082,598.60,3025.78,0.00,0.200000,0.010000,0.00004597
40,vehicle_analysis_postprocessing,16:48:32.860213,16:48:32.860709,0.000496,0.00,3025.78,0.00,0.000000,0.000000,0.00000012
40,mqtt_communication,16:48:32.860964,16:48:32.861280,0.000317,0.00,3025.78,0.00,0.000000,0.000000,0.00000008
41,lane_detection,16:48:32.892186,16:48:32.962171,0.069985,600.13,3028.78,0.00,0.400000,0.020000,0.00009192
41,car_overlay_reconstruction,16:48:32.962599,16:48:32.965631,0.003032,659.64,3028.78,0.00,0.020000,0.000000,0.00000430
41,object_detection_yolo,16:48:32.965928,16:48:33.001149,0.035221,596.24,3028.78,0.00,0.200000,0.010000,0.00004601
